thr,flagged,tp,fp,tn,fn,precision,recall,f1,missed,mae_onset,mae_recovery,skill_onset,skill_recovery,taskB,penalty_total,penalty_share_of_onset_err,mean3,score_20_80,score_30_70,score_40_60,score_50_50,score_60_40,score_70_30,score_80_20
0.42,0.20566666666666666,528,89,1861,522,0.8557536466774717,0.5028571428571429,0.6334733053389322,522,15.319611689372278,16.344894750063798,0.0,0.0,0.0,15660.0,0.9735420203001782,0.21115776844631073,0.12669466106778646,0.19004199160167964,0.2533893221355729,0.3167366526694661,0.3800839832033593,0.44343131373725253,0.5067786442711458
0.43,0.201,524,79,1871,526,0.8689883913764511,0.4990476190476191,0.633998790078645,526,15.429351839180041,16.449737892105677,0.0,0.0,0.0,15780.0,0.974024805786663,0.211332930026215,0.126799758015729,0.1901996370235935,0.253599516031458,0.3169993950393225,0.380399274047187,0.44379915305505147,0.507199032062916
0.44,0.19866666666666666,520,76,1874,530,0.87248322147651,0.49523809523809526,0.6318347509113001,530,15.526785779611545,16.54759372684019,0.0,0.0,0.0,15900.0,0.9752731413826459,0.21061158363710006,0.12636695018226005,0.18955042527339003,0.2527339003645201,0.3159173754556501,0.37910085054678005,0.4422843256379101,0.5054678007290402
0.45,0.194,517,65,1885,533,0.8883161512027491,0.49238095238095236,0.633578431372549,533,15.591793820376333,16.626877608499644,0.0,0.0,0.0,15990.0,0.9767042589204699,0.21119281045751634,0.1267156862745098,0.1900735294117647,0.2534313725490196,0.3167892156862745,0.3801470588235294,0.44350490196078424,0.5068627450980392
0.46,0.19266666666666668,516,62,1888,534,0.8927335640138409,0.49142857142857144,0.6339066339066339,534,15.612169631434218,16.65389561405298,0.0,0.0,0.0,16020.0,0.9772596133226396,0.2113022113022113,0.12678132678132678,0.19017199017199019,0.25356265356265356,0.31695331695331697,0.38034398034398037,0.4437346437346437,0.5071253071253071
0.47,0.189,511,56,1894,539,0.9012345679012346,0.4866666666666667,0.6320346320346321,539,15.735040816721147,16.775466022361407,0.0,0.0,0.0,16170.0,0.9787073436527025,0.2106782106782107,0.1264069264069264,0.18961038961038962,0.2528138528138528,0.31601731601731603,0.37922077922077924,0.4424242424242424,0.5056277056277056
0.48,0.188,511,53,1897,539,0.9060283687943262,0.4866666666666667,0.6332094175960347,539,15.735040816721147,16.775466022361407,0.0,0.0,0.0,16170.0,0.9787073436527025,0.21106980586534488,0.12664188351920694,0.1899628252788104,0.2532837670384139,0.31660470879801733,0.3799256505576208,0.44324659231722424,0.5065675340768278
0.49,0.18633333333333332,508,51,1899,542,0.9087656529516994,0.4838095238095238,0.6314481044126786,542,15.812629964318306,16.8519962786647,0.0,0.0,0.0,16260.0,0.9793256606053695,0.21048270147089287,0.12628962088253573,0.18943443132380358,0.25257924176507146,0.3157240522063393,0.37886886264760716,0.442013673088875,0.5051584835301429
0.5,0.18466666666666667,504,50,1900,546,0.9097472924187726,0.48,0.628428927680798,546,15.913293791240894,16.95376690638309,0.0,0.0,0.0,16380.0,0.9803124484879843,0.2094763092269327,0.1256857855361596,0.18852867830423942,0.2513715710723192,0.314214463840399,0.37705735660847883,0.4399002493765586,0.5027431421446384
0.51,0.18366666666666667,503,48,1902,547,0.9128856624319419,0.47904761904761906,0.6283572767020612,547,15.939803789177462,16.980698587407357,0.0,0.0,0.0,16410.0,0.9804745174581542,0.20945242556735374,0.12567145534041224,0.18850718301061836,0.2513429106808245,0.3141786383510306,0.3770143660212367,0.4398500936914428,0.502685821361649
